material_id,pred_E_per_atom_above_ground_state,System
mp-2853,0.4696183938848229,GaN
mp-612405,0.2385503720232214,Fe3O4
mp-676422,0.1032793390653386,Ta2O5
mp-560954,0.213662481050736,SiO2
mp-27732,0.1374904134763575,W10O29
mp-559871,0.0906583542543998,AlF3
mp-1199711,0.1054404987731629,Si18O29
mp-1014339,0.1741249012494407,CrN2
mp-19395,0.1948215704891158,MnO2
mp-1216851,0.2745640138726585,V32N3
mp-1215,0.2237664439194074,Ti2O
mp-32591,0.2429997552582681,Al2O3
mp-543061,0.212569782653429,Mo4O5
mp-556585,0.0901967851938952,MnF2
mp-705284,0.1112906849841087,W5O14
mp-1222421,0.1446885580097296,Li3N2
mp-1224223,0.2083529724719381,In11S16
mp-1178770,0.214431761142198,Y2O3
mp-571387,0.089890043311104,MgCl2
mp-1217105,0.1649840840953582,Ti3O8
mp-1217048,0.2501566219896438,Ti8N5
mp-1225731,0.214637600098857,Cu3S2
mp-1147712,0.1862442396841905,CuS2
mp-1219538,0.1610297342930586,Sb5O14
mp-30282,0.0888334675554146,La2I5
mp-1203602,0.1614541827254568,Sb3O14
mp-9921,0.2114779008156098,ZrS3
mp-1094038,0.3085599241408563,TaS3
mp-28571,0.0933727261695733,La2Br5
mp-570506,0.0895921763943752,ZrI2
mp-1229215,0.1730289675302137,Al11O18
mp-1176437,0.0975779120374681,MnF3
mp-1080657,0.2024704917303378,SiS4
mp-1228685,0.4046761582491783,B8O
mp-1101328,0.1481456149636689,V9O22
mp-19457,0.1622120750099732,V6O13
mp-562100,0.2333779234142071,NbS3
mp-1079523,0.0929172208240547,CoO4
mp-1219481,0.1667227870067571,Sb6O13
mp-9922,0.214940887427436,HfS3
mp-1188323,0.2334661677763668,Ti2O3
mp-559374,0.1100073363740628,TiS3
mp-1002105,0.4873067518370413,VN
mp-1239203,0.194194116070804,MoS3
mp-1206559,0.1633751121348738,LaO2
mp-555853,0.2014318206345878,In6S7
mp-28062,0.0224725268700348,Sb2F7
mp-1207792,0.171592293185135,VO3
mp-1627,0.2959264918324829,Mo2S3
mp-1180296,0.1936880462116285,Mo2O7
mp-553955,0.0684042963824626,V2O3
mp-1188645,0.2169453848928682,Y2S3
mp-1216596,0.1172192954093577,V2O5
mp-2739,0.1265293688244026,TeO2
mp-10426,0.1349253662351841,Nb2O5
mp-964,0.2372226410803195,Cr3S4
mp-1101022,0.165769407317213,TiO2
mp-1178684,0.1740829086869978,YO2
mp-570354,0.0946793474167794,CuBr
mp-32641,0.1804126387907389,LiS
mp-1223154,0.214029607308582,La4S7
mp-1059612,0.1387013954917131,LiN
mp-32829,0.0861451591847757,CuCl4
mp-555283,0.2942178103209594,V3S
mp-849098,0.1129447735694147,VS2
mp-13134,0.2619332479781024,Ga2O3
mp-755894,0.1729396505052236,Li2O
mp-1182503,0.1972828220296783,Fe8O17
mp-10695,0.1887864208633711,ZnS
mp-8057,0.2009363759332606,Ti3O5
mp-1096920,0.1683374720824338,Cr3O5
mp-1456,0.2134757936561367,Fe2O3
mp-1190649,0.168321177380188,MgO
mp-1120811,0.160179330156434,Ca2O3
mp-673637,0.2505986968599438,Ti9S10
mp-741,0.2629606276478233,HfO2
mp-1208632,0.1854264517711185,ZnN6
mp-344,0.4535387269120437,BN
mp-755300,0.2253460487148725,TiO
mp-545820,0.1685759199398329,SnO
mp-1009831,0.4138790327713484,TaN
mp-641539,0.4141069853208702,Si3N4
mp-13161,0.2244200615884824,ZnO
mp-1271276,0.2015073504073719,SbN
mp-717,0.2066441215951814,B2O3
mp-8022,0.2258937920773995,Al2O
mp-1228491,0.1988104572695253,Al2S3
mp-559485,0.2209575697366542,V9O17
mp-19079,0.2182187300410991,CoO
mp-767208,0.1841526133484714,Sb17S27
mp-554032,0.1899701368750625,Ti3O
mp-684898,0.1852116760279878,Cu18S11
mp-23204,0.0876770248571573,FeCl3
mp-1100929,0.161607153429804,V9O20
mp-706875,0.2200094748812977,Fe21O23
mp-775910,0.2265648861325457,ZrO2
mp-649729,0.0310237560569991,NbO2
mp-760747,0.1992435721949056,Ti11O18
