material_id,Formula,Amorphization Enthalpy
mp-1960,Li2O,0.127419441078431
mp-2352,Na2O,0.0981922619607842
mp-1265,MgO,0.129966522700001
mp-1143,Al2O3,0.1756225128
mp-7000,SiO2,0.140015519509804
mp-971,K2O,0.0729125119607845
mp-2605,CaO,0.125099914000001
mp-216,Sc2O3,0.210167502399999
mp-1071163,TiO,0.287456602533334
mp-390,TiO2,0.140335455490195
mp-458,Ti2O3,0.170632126800001
mp-541404,VO2,0.139840633921569
mp-21579,V2O3,0.31693322785
mp-25279,V2O5,0.0432806539523805
mp-19399,Cr2O3,0.357628910199999
mp-644514,MnO2,0.290383901830066
mp-1232659,MnO,0.18955783535
mp-1172875,Mn2O3,0.20163142875
mp-1274279,FeO,0.28021688155
mp-19770,Fe2O3,0.208935971900001
mp-22408,CoO,0.3273432073
mp-19009,NiO,0.294517847400001
mp-2133,ZnO,0.206578640999999
mp-886,Ga2O3,0.169805168200001
mp-470,GeO2,0.105854358137255
mp-2652,Y2O3,0.237756836299999
mp-2858,ZrO2,0.177124959019608
mp-581967,Nb2O5,0.101952516659866
mp-715584,MoO3,0.0777222129500004
mp-22598,In2O3,0.188815936999999
mp-856,SnO2,0.265732068333334
mp-2136,Sb2O3,0.0991924458000009
mp-1705,Sb2O5,0.146287667047619
mp-1705,Sb2O5,0.146287667047619
mp-1101301,TeO3,0.18846271805
mp-8377,TeO2,0.0759424423529413
mp-352,HfO2,0.191348500294119
mp-10390,Ta2O5,0.120958398904762
mp-2383161,WO3,0.202858494299999
mp-1968,La2O3,0.146512486100001
mp-530399,LiAl5O8,0.168284995535715
mp-17159,Li2CrO4,0.108985739
mp-18988,Li2MnO3,0.248366626666668
mp-14495,Li6ZnO4,0.128631789727272
mp-3771,MgTiO3,0.166345468299999
mp-770618,MgMnO3,0.251527687599999
mp-17101,CaNb2O6,0.126247001944444
mp-5279,Ca3TeO6,0.2743612997
mp-31116,LaScO3,0.179352323600002
mp-17066,Y2TeO6,0.263900133611112
mp-5373,Y2Ti2O7,0.0863764959999998
mp-1216160,Y4Zr3O12,0.171831435350878
mp-560349,La3NbO7,0.135883804090909
mp-3491,NbSbO4,0.115430795465686
mp-504908,In2TeO6,0.256275095648148
mp-505679,HfV2O7,0.1726379869
mp-1205391,TaSbO4,0.130537460588235
mp-755135,La6WO12,0.152118114736842
mp-20312,V2WO6,0.278134194907408
mp-4547,La2TeO2,0.2472117422
mp-1211549,La3SbO7,0.182263233
mp-2251,Li3N,0.1367927563
mp-1559,Mg3N2,0.23075498075
mp-661,AlN,0.3985595508
mp-988,Si3N4,0.397307261380952
mp-844,Ca3N2,0.20784011555
mp-2857,ScN,0.447083752999999
mp-492,TiN,0.115554514600001
mp-1018027,VN,0.404688422
,CrN,0.0971047693000013
mp-6988,FeN,0.3010660741
mp-9460,Zn3N2,0.1491886837
mp-804,GaN,0.621145097499999
mp-672289,Ge3N4,0.299087150071428
mp-2114,YN,0.182728665800001
mp-277,Zr3N4,0.162626254095239
mp-2634,NbN,0.4159999125
mp-776470,Hf3N4,0.193574985833335
mp-27488,Ta3N5,0.301187402451923
mp-256,LaN,0.217525229
mp-7575,LiZnN,0.174092806078431
mp-37906,LiMgN,0.21266671754902
mp-3216,Li2ZrN2,0.194629039199999
mp-1029592,Li3YN2,0.20807055074755
mp-1029776,Li2GeN2,0.2503424995
mp-30129,Li4TaN3,0.228292583701922
mp-1029338,LiV2N3,0.240589626813726
mp-1029331,LiHf2N3,0.230406959607842
mp-14753,Li7TaN4,0.177442459537037
mp-1245813,HfMgN2,0.331719499675
mp-5795,CaMg2N2,0.2048941758
mp-1246788,Mg2NbN3,0.326889335343138
mp-1029921,Ca3Al3N5,0.169918680727273
mp-1029359,CaHfN2,0.348829241200001
mp-1029572,CaTiN2,0.22843574105625
mp-7801,CaGeN2,0.348172474550001
mp-8818,Ca2ZnN2,0.2899158051
mp-1029660,Ca4ZrN4,0.249531004907407
mp-1029681,Ca4SnN4,0.216036404166667
mp-1247440,Ca5VN5,0.303886094409092
mp-17875,Ca6GaN5,0.208090523425926
mp-17577,Ca6MnN5,0.208740393055556
mp-1014251,HfZnN2,0.2607495196
mp-1016108,TiZnN2,0.293873706325001
mp-1029387,TaZn2N3,0.276569804215686
mp-1029354,MnZn2N3,0.229717435833334
mp-1029422,NbZn2N3,0.315685191470587
mp-1246430,Zn3MoN4,0.330882901057691
mp-568036,La2GaN3,0.288623594877451
mp-1193658,Y3Te3N,0.216697301761905
mp-989631,LaMoN3,0.268704848299999
mp-1153,Li2S,0.125264975686274
mp-648,Na2S,0.112455278235294
mp-1315,MgS,0.1681310685
mp-1228491,Al2S3,0.120755420599999
mp-1022,K2S,0.0973358449019606
mp-1672,CaS,0.2782412617
mp-401,Sc2S3,0.198053968399999
mp-1018028,TiS,0.3511527559
mp-2156,TiS2,0.224806422647059
mp-1101099,Ti2S3,0.20935214
mp-1013525,VS2,0.223245053823529
mp-555569,Cr2S3,0.268574609300002
mp-2065,MnS,0.144542475
mp-1422029,MnS2,0.215534948529411
mp-505531,FeS,0.2565398623
mp-555599,CuS,0.132089958299999
mp-554820,ZnS,0.313147041521429
mp-539,Ga2S3,0.21854189
mp-572892,GeS2,0.235283039473039
mp-541289,Y2S3,0.140159070633334
mp-1186,ZrS2,0.214315963333333
mp-22216,In2S3,0.282716091300001
mp-1170,SnS2,0.189531241470588
mp-2231,SnS,0.1529490474
mp-2809,Sb2S3,0.1671594544
mp-985829,HfS2,0.26185065137255
mp-7475,La2S3,0.154101611600001
mp-1106183,LiAlS2,0.14850917735
mp-15788,LiYS2,0.1570902633
mp-1001786,LiScS2,0.2049602972
mp-9615,LiTiS2,0.1796125038
mp-1079885,LiSbS2,0.1219402769
mp-4226,LiCrS2,0.2321206162
mp-558731,Li2TeS3,0.145676700637255
mp-1223592,La9Al5S21,0.155043536190477
mp-17597,Ca(ScS2)2,0.15733125795238
mp-866503,Ca2SnS4,0.227735725428571
mp-4194,Zn(CrS2)2,0.316635510619048
mp-4816,LaGaS3,0.222151595066667
mp-5238,GaCuS2,0.3046087325
mp-504951,InGaS3,0.2268592926
mp-27255,Ga2TeS2,0.236155163399999
mp-10533,YCuS2,0.14969979775
mp-1216058,Y2TeS2,0.220558448199999
mp-17324,ZrSnS3,0.1887272081
mp-1198687,La2ZrS5,0.168578851850962
mp-7116,Nb3CoS6,0.303201442300001
mp-15958,Nb3VS6,0.4075210878
mp-21365,InSbS3,0.232428889399999
mp-540877,La3InS6,0.1952623521
mp-8725,HfSnS3,0.218882013800001
mp-10328,LaCrS3,0.2112079264
mp-1195582,La8Sb2S15,0.165737203
mp-1138,LiF,0.0848984873000003
mp-682,NaF,0.1146074626
mp-1249,MgF2,0.140264209117646
mp-468,AlF3,0.152044666799999
mp-1818,SiF4,0.0423714042999999
mp-463,KF,0.0993055567000001
mp-2741,CaF2,0.105108354607844
mp-1078300,ScF3,0.133129912999999
mp-246,TiF3,0.15831533845
mp-28974,TiF4,0.0344658789666665
mp-554799,VF4,0.0530069510999995
mp-559931,VF3,0.188737339699999
mp-554799,VF4,0.0530069510999995
mp-27309,VF5,0.0029017942769611
mp-556585,MnF2,0.140915150392157
mp-556560,MnF3,0.11186365815
mp-556911,FeF2,0.188368185294117
mp-22398,FeF3,0.1647234575
mp-555908,CoF2,0.264664462843138
mp-1873,ZnF2,0.0941785271568625
mp-588,GaF3,0.1329674565
mp-9816,GeF4,0.0041018451000001
mp-2416,YF3,0.0718914872500003
mp-1105223,ZrF4,0.0736848627000004
mp-18687,NbF5,0.0256990214460782
mp-557259,MoF6,0.0296267804047616
mp-6949,InF3,0.0852966776999997
mp-2843,SnF2,0.0404177248284308
mp-2706,SnF4,0.0530223722000009
mp-1880,SbF3,0.0572192605500002
mp-1341935,SbF5,0.001811183186275
mp-1875,TeF6,0.0830008441666665
mp-561664,TeF4,0.0399410451999991
mp-31033,HfF4,0.0708099433333329
mp-561197,TaF5,0.0336538107843136
mp-555003,WF6,0.0085949062857144
mp-905,LaF3,0.0833755074999987
mp-558059,LiMnF4,0.0990685392401955
mp-3980,LiSbF6,0.0748204586538463
mp-1080679,LiTaF6,0.0857993210576913
mp-2710677,LiVF6,0.0654059936538465
mp-554689,LiCoF4,0.166502353578431
mp-8892,LiInF4,0.0777021008578434
mp-558059,LiMnF4,0.0990685392401955
mp-1078799,LiNbF6,0.072668483653846
mp-3700,LiYF4,0.0963553380392153
mp-754895,LiVF4,0.115945006029412
mp-1195657,LiSb2F7,0.0542803652000003
mp-1205739,Li2SnF6,0.067173076944445
mp-754966,Li2MnF6,0.0849307172222229
mp-542219,Li2ZrF6,0.0500952922222222
mp-7603,Li2TiF6,0.0643687477777783
mp-7791,Li2GeF6,0.0716968866666665
mp-556229,Li2MnF5,0.0720691136538454
mp-753861,Li2VF6,0.0584883782407406
mp-21633,Li3VF6,0.0754302513000003
mp-776627,Li3FeF6,0.0828762019333329
mp-15558,Li3GaF6,0.0702732291666672
mp-1399447,MgTiF6,0.126989832307693
mp-1025460,MgZrF6,0.13645116375
mp-1397451,MgSnF6,0.137543676826923
mp-557426,CaMnF5,0.107267923
mp-558235,CaTaF7,0.0589998660185191
mp-542232,CaFeF5,0.108513564476191
mp-1391106,CaVF6,0.0843636830769228
mp-4782,CaSnF6,0.117018337307693
mp-1387972,CaMnF6,0.119896936442307
mp-27315,CaTiF6,0.100854547307693
mp-1403065,TiZnF6,0.0857188126923072
mp-1386276,MnZnF6,0.102514419038462
mp-13903,ZnSnF6,0.112570260865384
mp-18183,YSnF7,0.10564920074074
mp-1207624,YZrF7,0.0904474103703699
mp-530429,YZr3F15,0.081692077149123
mp-556360,ZrCoF6,0.0414473625961538
mp-562418,ZrFeF6,0.124749891826923
mp-1206098,ZrMnF6,0.116477974038462
mp-2459069,ZrCrF6,0.101560066634615
mp-34291,Zr3InF15,0.0657329130701756
mp-27472,NbSbF10,0.0239314504166659
mp-1200631,InSb3F18,0.156695142636363
mp-557938,HfVF6,0.199584972788461
mp-1205992,HfMnF6,0.125116192980768
mp-18566,LaSnF7,0.102718559907406
mp-22905,LiCl,0.0474837950999998
mp-22862,NaCl,0.0968131748000003
mp-23210,MgCl2,0.101446917352941
mp-25469,AlCl3,0.0309008734499998
mp-28391,SiCl4,0.0957413951000001
mp-23193,KCl,0.1858560018
mp-571642,CaCl2,0.0756050455392154
mp-23309,ScCl3,0.10344619585
mp-2017901,TiCl3,0.0684836521833336
mp-30092,TiCl4,0.0025925341999997
mp-22877,VCl2,0.144373810392157
mp-23240,CoCl2,0.100056929803922
mp-22909,ZnCl2,0.137077164705883
mp-30952,GaCl3,0.0248320531499999
mp-30086,GeCl4,0.1714847411
mp-27455,YCl3,0.107574373299999
mp-569175,ZrCl4,0.0460269550000003
mp-23307,NbCl5,0.0538981245261443
mp-29866,SnCl4,0.2333164903
mp-22872,SbCl3,0.0139205455499996
mp-570796,SbCl5,0.0691713007843138
mp-569561,TeCl4,0.12711766615
mp-29422,HfCl4,0.0404770897000013
mp-29831,TaCl5,0.0372222032516341
mp-22896,LaCl3,0.0878719306500004
mp-22983,LiAlCl4,0.0342487431862741
mp-22961,Li2ZnCl4,0.0402620956666664
mp-34148,Li2MnCl4,0.0664592385238096
mp-28341,LiGaCl4,0.028677297132353
mp-1210931,LiFeCl4,0.0744136041666668
mp-676109,Li3InCl6,0.032183202033333
mp-29250,Li6VCl8,0.0806881648571429
mp-1211124,Li6NiCl8,0.0794399966666668
mp-29985,LiNb6Cl19,0.161634586826924
mp-1190761,NaGaCl4,0.0409509057598036
mp-29432,NaScCl4,0.0750067745588234
mp-616461,Na2ZnCl4,0.0742415943809522
mp-23363,NaAlCl4,0.0314638456372549
mp-28947,NaSn2Cl5,0.0312146624038458
mp-28178,NaNbCl6,0.0495136610096161
mp-28179,NaTaCl6,0.0537644947596156
mp-1189516,Na3ScCl6,0.0589819754999992
mp-23503,Na3InCl6,0.0744722904000001
mp-31362,Na3YCl6,0.0689263473000006
