System,material_id,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber,spacegroup_num,crystal_system_int,density,natoms,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,vpa,packing fraction,a,b,c,alpha,beta,gamma
Al2O3,mp-642363,4.0,47.978,5,2266.0,0.0,2.0,3.2,8.433822462752024,3.2,213.0,63.0,5.0,4.015040197315123,10.0,1.9219280948873625,19.219280948873624,0.057327466604711,1.051689805968374,0.8890750156043514,0.1691262969378971,0.1354078061151408,0.1175847662495493,0.0467284239580409,0.0973898854983485,1.9593141845296216,0.0263841596653142,1.5178214618096315,0.1400678683891273,14.0,3.286335345030997,8.433822479390402,0.4523879376585427,7.045032,4.67242661,2.673918002574564,106.62688683000002,90.00000000000001,89.99999999999999
NbP,mp-9830,3.0,58.221,6,2224.0,0.8125,3.0,5.0,16.203647297622346,1.5,227.0,141.0,4.0,6.347577437509544,4.0,1.0,4.0,1.1102230246251563e-16,1.0000000000000002,1.0,0.1177701652857862,5.551115123125783e-17,0.1177701652857861,2.4286128663675305e-17,2.192539501768708e-16,2.4872085051967794,3.8459253727671276e-16,1.5707963267948966,0.0,12.0,0.0,16.203647304573302,0.5233031929196229,5.79909771,3.517444000498999,3.517444000498999,107.654420495,107.654420495,89.99999998877415
Cu3Se2,mp-20683,4.0,16.359,4,1350.0,0.38352,1.0,1.4,17.27420110289248,0.8,211.0,113.0,4.0,6.508226866322737,10.0,1.521928094887362,15.21928094887362,0.019379125231845,1.0316520915495353,0.9757760934601936,0.1086411954297424,0.0571052779583796,0.0777738154236397,0.0246939040048821,0.0267728057858859,2.4822120515535184,0.0307322976911719,1.5827386802650238,0.2629896284700495,15.6,2.8000000000000003,17.786539362950908,0.4909244661348176,6.394919,6.394919,4.34932,90.0,90.0,90.0
MgCl2,mp-23210,5.0,10.607,3,951.0,1.108,1.0,0.6666666666666666,23.16805760537846,0.6666666666666666,130.0,166.0,3.0,2.055141036992421,3.0,0.9182958340544896,2.7548875021634687,0.1281089855452616,1.096081739158946,0.8078365216821074,0.1908974834199973,0.1908974764800436,0.1272649912599827,0.0848433228800193,0.2445699603128353,2.527827525078354,3.6259732146947156e-16,1.5899159749881384,0.0540789522076406,12.666666666666664,4.714045207910317,25.643265626968425,0.2926661484051731,6.90807993,3.675930744763285,3.6759299991759504,74.570041535,74.57002911078504,60.00000670954689
ZrS3,mp-9921,4.0,18.964,4,1747.0,0.82575,2.0,3.5,21.559193470251937,1.5,124.0,11.0,6.0,3.3773766748881475,8.0,2.0,16.0,0.0677331929358684,1.072109632016908,0.8645336141282632,0.2048738135716149,0.187049786677584,0.1356148132126611,0.0652860072245052,0.183376936652763,2.559426215584086,0.1138773129397706,1.26988843363296,0.2372816453315291,13.0,2.1213203435596424,23.036856434444555,0.3056504456061128,9.75054511,5.201951,3.658647,96.72951105,90.00000000000001,90.0
ZrI2,mp-570506,5.0,14.376,3,875.0,0.472,1.0,3.333333333333333,33.9691129229021,0.6666666666666666,130.0,31.0,5.0,5.355360291286656,12.0,2.584962500721156,31.01955000865388,0.0967070725126922,1.0813318135973702,0.8548789229079015,0.1393641401586968,0.0926744569309803,0.1048971162300272,0.0387666060171384,0.2200085746950313,2.9983973595613835,0.0426401441216219,1.3463069596468449,0.1417129790245536,13.0,1.6329931618554518,35.66150771020768,0.3606747091876477,16.364336,6.924741,3.776409,90.0,90.0,90.0
Y2O3,mp-775906,4.0,65.475,5,2677.0,0.0,2.0,4.8,14.293043775537242,1.2,182.0,61.0,5.0,5.102954047174592,40.0,2.3219280948873617,92.87712379549448,0.0563585129918201,1.051197083756129,0.9253635298570086,0.1635602462580381,0.1126882925523664,0.1170874081185313,0.0517159326612245,0.0918620949232526,2.316127086933265,0.0096011174438993,1.5350128864677088,0.1125182156721156,17.2,2.638181191654584,14.696042766683645,0.7018540408475955,16.841208,5.993442,5.823859,90.0,90.0,90.0
TaSe3,mp-29652,4.0,23.043,7,2006.0,0.299625,2.0,3.25,22.761572879307927,1.5,215.0,11.0,6.0,7.391898689405443,16.0,3.0,48.0,0.0668169572397175,1.0854940092095982,0.8657667580428793,0.1845758430415853,0.1623450089822251,0.1121600409481718,0.0523754009446546,0.1738822753678459,2.688393997199471,0.0344258056636512,1.4422251071915198,0.1710340014842239,13.25,2.165063509461097,23.46553760723421,0.3396675795353555,10.896543,10.374565,3.519161,109.3104281,90.00000000000001,90.0
Sb6O13,mp-684679,4.0,71.066,7,1885.0,0.0,2.0,2.3157894736842106,14.389068933662625,2.3157894736842106,154.0,11.0,6.0,5.473931725796481,38.0,3.826874881864637,145.42124551085618,0.0948118296268684,1.1368213369035165,0.7814730822955438,0.2191073152618696,0.214552895426178,0.1118483055640842,0.0495521991706595,0.2290308068875947,2.101510103774213,0.1383851939627869,1.8723239573856727,0.4032376121768818,13.157894736842106,4.5568128046133385,14.98492402139475,0.3104257740269085,10.35684245,7.431779,7.399155,90.0,90.0,89.01531436
HfS3,mp-9922,4.0,20.84,6,1770.0,0.82575,2.0,3.5,20.992905474120512,1.5,124.0,11.0,6.0,5.091838015151248,8.0,2.0,16.0,0.0681241396382114,1.07251269726638,0.863751720723577,0.2054595381088513,0.1866260224447813,0.1360449057874141,0.0657537769731198,0.1881176248984852,2.538200141591292,0.1079641472519644,1.2677734095229125,0.238005563142016,13.0,2.1213203435596424,22.394917358189527,0.3144117623625497,9.70602794,5.14921,3.611567,96.98825245,90.00000000000001,90.0
TiS3,mp-9920,4.0,21.423,4,1711.0,0.82575,2.0,3.5,19.15080535686719,1.5,124.0,11.0,6.0,2.9409058827850685,8.0,2.0,16.0,0.0704151169819174,1.0756959765958916,0.8591697660361653,0.2039574195686479,0.1758549793810594,0.1376646021192191,0.0630523691274148,0.2030573576791208,2.4475434590409573,0.103705126962731,1.2639020866136097,0.2373139897268532,13.0,2.1213203435596424,20.33561976437134,0.2957914636372141,9.51781385,5.02973,3.415617,95.76698753,90.00000000000001,90.0
HfSe3,mp-15622,4.0,18.035,6,1755.0,0.299625,2.0,3.5,24.32655219527873,1.5,180.0,11.0,6.0,6.660319741293644,8.0,2.0,16.0,0.0658310686815651,1.0684806617747395,0.8683378626368697,0.1964110679232328,0.1740901691181461,0.1315219024379656,0.0625241858687409,0.1869698446272924,2.77160733589352,0.0264128021767783,1.4454535079697557,0.2045700603254852,13.0,2.1213203435596424,25.889826909076856,0.3351742187564908,10.19817641,5.448196,3.749518,96.18040461,90.00000000000001,90.0
Mo2S3,mp-1627,4.0,64.874,5,2163.0,1.05696,2.0,3.6,16.804545355124993,1.2,159.0,11.0,6.0,5.693218993317598,10.0,2.3219280948873617,23.21928094887362,0.0561497400281849,1.0549450858288996,0.9277049545296066,0.1468186123189609,0.0808976142876972,0.1079167791237609,0.0324969631127387,0.1198929991184561,2.477637956668868,0.0817298487693566,1.3708850318231292,0.0601821061414277,12.4,1.4966629547095764,16.804545355078506,0.4535257680027247,8.7062723,6.170364,3.209857,102.95757357,90.00000000000001,90.0
Ta2Se3,mp-9983,4.0,48.002,5,2104.0,0.38352,2.0,4.0,20.38146551900365,1.2,215.0,11.0,6.0,9.70560592468374,10.0,2.3219280948873617,23.21928094887362,0.0525204680898271,1.0522817902918864,0.9317857148429805,0.1327112667897613,0.0662005901258176,0.1027217557872131,0.0288430754153769,0.1141169068993208,2.6709459255225707,0.0793496764733827,1.3487412383919208,0.067788237961315,13.2,2.1354156504062622,20.4889943688512,0.4358630704894953,9.31089172,6.628628,3.427364,104.39559337,90.00000000000001,90.0
Y2S3,mp-541289,4.0,31.194,5,1889.0,1.05696,2.0,4.8,23.91541596864251,1.2,124.0,11.0,6.0,3.775544097197813,30.0,3.9068905956085183,117.20671786825554,0.054222752307364,1.0572258626296778,0.9069948214335644,0.1593951488845023,0.1247089529726705,0.1014501975354472,0.0481690428896036,0.1042972082049714,2.789981646167534,0.0474667064533777,1.5283399620452442,0.1506883481719127,13.333333333333336,3.047767853509989,24.10242396105321,0.5096949556794996,17.67181249,10.234052,4.044194,98.65912794,90.00000000000001,90.0
Ti2O3,mp-458,4.0,78.161,6,2099.0,0.0,2.0,4.4,10.37211155286214,1.2,182.0,167.0,3.0,4.523578268067529,10.0,0.9709505944546686,9.709505944546684,0.0771767601859215,1.0643146172247664,0.9035290316105992,0.1780565895212167,0.1585766180590702,0.1146261828321257,0.0761162126900907,0.1389102288895408,2.0519696427594,6.122118189852247e-07,1.498851290105366,0.0091903968527105,15.2,4.261455150532504,10.552395261508272,0.4871390060666774,5.51733381,5.112792466611405,5.112791999226343,62.39722134,62.39721733691379,60.00000302397825
Nb2Se3,mp-2330,4.0,43.981,6,1907.0,0.38352,2.0,4.0,20.81268463460949,1.2,215.0,11.0,6.0,6.756628756359594,10.0,2.3219280948873617,23.21928094887362,0.0533527870621065,1.0511277776534227,0.93142373140045,0.1365501622158896,0.0707180945220916,0.104578231040726,0.0301323725331416,0.1150783539931212,2.675074508178437,0.0774435648879786,1.3569859804158402,0.0629453557036539,13.2,2.1354156504062622,20.77656935774953,0.4298301535290995,9.3109851,6.636929000000001,3.467354,104.1532464,90.00000000000001,90.0
ZrSe3,mp-1683,4.0,17.119,6,1787.0,0.299625,2.0,3.5,24.926450227897973,1.5,180.0,11.0,6.0,5.205999279428915,8.0,2.0,16.0,0.0643111629713964,1.066106699057942,0.8713776740572072,0.1914108842694736,0.1705188158645121,0.1285882852381055,0.0599754889390398,0.1725670284854841,2.7958454020814414,0.0258577128212707,1.4447399731723531,0.2066133315943025,13.0,2.1213203435596424,26.163540942706696,0.3316677405016756,10.15612659,5.484967,3.788102,97.30281964,90.00000000000001,90.0
CuCl4,mp-32829,5.0,1.404,0,683.0,0.7977599999999999,1.0,1.0,24.78010211273589,0.8,161.0,121.0,4.0,2.7522483575211845,5.0,0.7219280948873623,3.6096404744368114,0.0892981596953251,1.0558113498103938,0.7767546007616869,0.1599871559579733,0.0336847632270591,0.1330393453816669,0.0107791242305225,0.1264177407597949,2.188187694811595,6.726689687352269e-11,0.0,0.0,16.0,0.0,24.780102075050124,0.2184103635835579,6.26385988,4.865125997513668,4.865125997513667,112.85180113500002,112.85180113500002,90.00000000519513
GeS2,mp-7582,4.0,15.921,6,1102.0,0.8084444444444445,2.0,2.6666666666666665,24.14988879072545,2.6666666666666665,155.0,122.0,4.0,2.982233642619664,6.0,0.9182958340544896,5.509775004326936,0.1203326631847202,1.0902494973885817,0.8195010052229196,0.2246795344919283,0.0638142633373448,0.203408113377416,0.0283618948152216,0.1965352285508437,2.2501232473123656,1.5086224157058836e-11,1.8865195048836032,0.0404793469603889,16.0,2.8284271247461903,25.38499121990316,0.2174357167043024,6.119008,5.785451999159268,5.785451999159268,118.21258131255652,89.99999999772264,61.78741868500001
TiS2,mp-9027,4.0,31.437,6,1745.0,0.9786666666666668,2.0,4.0,19.659107844829567,1.3333333333333333,124.0,227.0,1.0,3.14333882835504,12.0,0.9182958340544896,11.019550008653876,0.0986451914085836,1.073984685097872,0.8520319213051429,0.1678090772226037,0.1678090772226036,0.1118727923926792,0.0745814172561104,0.1794185593217356,2.433285566812597,1.4089235287023e-06,1.5766410687901864,0.016756253894447,12.5,4.716990566028302,19.721640058362592,0.3358682927772098,6.94298815,6.942988149999999,6.942988149999999,60.00000000000001,60.00000000000001,60.00000000000001
GeSe2,mp-10074,4.0,12.853,6,1013.0,0.1848888888888889,2.0,2.6666666666666665,28.110594233411263,2.6666666666666665,211.0,122.0,4.0,4.305992217351437,6.0,0.9182958340544896,5.509775004326936,0.1116295723134691,1.0837221792351996,0.8325556415297963,0.2171011033541292,0.0511976089048268,0.2000352337185449,0.0227544928461616,0.181780053558873,2.403128868805997,4.774590896129592e-12,1.8599770037524823,0.0243619503180146,16.0,2.8284271247461903,29.63729470756674,0.2353170634114441,6.45829225,6.070633998722175,6.070633998722175,118.03348886074453,118.03348886,89.9999999993009
SiS2,mp-1602,4.0,7.51,6,1405.0,0.6351111111111112,2.0,2.6666666666666665,26.108562674572948,2.6666666666666665,157.0,72.0,5.0,1.6150896257816325,6.0,0.9182958340544896,5.509775004326936,0.1935621717322812,1.1451718121166927,0.7096567424015776,0.2572214210594477,0.170768215462288,0.2002982855639426,0.0758967199778552,0.3106730250910484,2.146528578318073,1.8789012297172089e-06,1.5193474735506418,0.1455193320608593,14.666666666666664,3.2998316455372216,31.603496466233373,0.1471657857757537,6.87759285,6.214267997950752,5.585151998574195,116.85771187,113.9562989,90.00000000739853
SiO2,mp-6945,4.0,50.252,6,1941.0,0.3435555555555556,2.0,2.6666666666666665,14.403224860338169,2.6666666666666665,215.0,92.0,4.0,2.1745421396486333,12.0,0.9182958340544896,11.019550008653876,0.2019663884765009,1.151474791357376,0.6970504172852483,0.2738435648298173,0.2468499815073802,0.1915602376606905,0.1097111028921688,0.3435341922618195,1.6257001316164947,2.866583523299505e-16,2.3650385417106525,0.3333737567868441,14.0,5.656854249492381,15.293997453826208,0.1609528433913113,7.098579,5.084701,5.084701,90.0,90.0,90.0
