System,material_id,E per atom above ground state,num__ElementProperty_MagpieData maximum NpValence,Shear Modulus Voigt,range oxidation state,Melting Point (K),num__ElementProperty_MagpieData avg_dev GSbandgap,num__ElementProperty_MagpieData mode NUnfilled,num__ElementProperty_MagpieData mean NUnfilled,num__DensityFeatures_vpa,num__ElementProperty_MagpieData mean NpUnfilled,num__ElementProperty_MagpieData range SpaceGroupNumber
LiAlCl4,mp-22983,0.0342487431862741,5.0,,4,491.0,1.108,1.0,1.6666666666666667,24.405869734121563,1.5,165.0
Li2ZnCl4,mp-22961,0.0402620956666663,5.0,16.758,3,836.0,1.221061224489796,1.0,0.8571428571428571,19.42740436483312,0.5714285714285714,165.0
Li2MnCl4,mp-34148,0.0664592385238096,5.0,,3,857.0,1.221061224489796,1.0,1.5714285714285714,20.297039173342345,0.5714285714285714,165.0
LiGaCl4,mp-28341,0.028677297132353,5.0,,4,476.0,1.108,1.0,1.6666666666666667,24.548898962934217,1.5,165.0
LiFeCl4,mp-1210931,0.0744136041666667,5.0,,4,537.0,1.108,1.0,1.5,24.368699557339927,0.6666666666666666,165.0
Li3InCl6,mp-676109,0.032183202033333,5.0,,4,816.0,1.19664,1.0,1.4,22.32921347110741,1.1,165.0
Li6VCl8,mp-29250,0.0806881648571429,5.0,,3,1090.0,1.2409599999999998,1.0,1.4,17.779100208066236,0.5333333333333333,165.0
Li6NiCl8,mp-1211124,0.0794399966666667,5.0,,3,992.0,1.2409599999999998,1.0,1.0666666666666669,17.416924475020505,0.5333333333333333,165.0
LiNb6Cl19,mp-29985,0.1616345868269242,5.0,,6,755.0,0.980973372781065,1.0,2.3846153846153846,24.908896219238365,0.7307692307692307,165.0
NaGaCl4,mp-1190761,0.0409509057598036,5.0,,4,478.0,1.108,1.0,1.6666666666666667,25.888979212963047,1.5,165.0
NaScCl4,mp-29432,0.0750067745588234,5.0,,4,1022.0,1.108,1.0,2.333333333333333,25.55503001252245,0.6666666666666666,165.0
Na2ZnCl4,mp-616461,0.0742415943809522,5.0,,3,649.0,1.221061224489796,1.0,0.8571428571428571,24.79350222709752,0.5714285714285714,165.0
NaAlCl4,mp-23363,0.0314638456372549,5.0,,4,470.0,1.108,1.0,1.6666666666666667,25.833538057969587,1.5,165.0
NaSn2Cl5,mp-28947,0.0312146624038458,5.0,,3,499.0,1.16859375,1.0,1.75,27.30083011672422,1.625,165.0
NaNbCl6,mp-28178,0.049513661009616,5.0,,6,784.0,0.934875,1.0,1.75,26.76249827615105,0.75,165.0
NaTaCl6,mp-28179,0.0537644947596156,5.0,,6,765.0,0.934875,1.0,1.75,26.796596534072464,0.75,165.0
Na3ScCl6,mp-1189516,0.0589819754999991,5.0,,4,917.0,1.19664,1.0,1.8,23.378189434033523,0.6,165.0
Na3InCl6,mp-23503,0.0744722904000001,5.0,,4,828.0,1.19664,1.0,1.4,25.496521492274795,1.1,165.0
Na3YCl6,mp-31362,0.0689263473000005,5.0,,4,883.0,1.19664,1.0,1.8,24.855382650243904,0.6,165.0
NaSbCl6,mp-28177,0.1044244128365385,5.0,,6,585.0,0.934875,1.0,1.25,27.44781051807671,1.125,165.0
Na6MgCl8,mp-1210184,0.089480405238095,5.0,,3,853.0,1.2409599999999998,1.0,0.9333333333333332,22.998107957841267,0.5333333333333333,165.0
Na6MnCl8,mp-27125,0.1116073746666659,5.0,,3,906.0,1.2409599999999998,1.0,1.2666666666666666,22.94709944599079,0.5333333333333333,165.0
NaAl3NiCl12,mp-568785,0.0662390380392161,5.0,,4,409.0,1.0351557093425603,1.0,1.7647058823529411,30.15202355861414,1.588235294117647,165.0
NaAl6Sb7(TeCl3)8,mp-1200510,0.1261643623188404,5.0,,5,1063.0,1.1599395085066162,1.0,2.0,32.7378099758358,1.9782608695652173,165.0
K2MgCl4,mp-27207,0.0312958897142858,5.0,11.104,3,730.0,1.221061224489796,1.0,0.8571428571428571,27.096964077166227,0.5714285714285714,165.0
Mg(AlCl4)2,mp-542463,0.0505363131818179,5.0,,4,475.0,0.9889586776859502,1.0,1.6363636363636365,27.63658186229984,1.6363636363636365,161.0
KAlCl4,mp-27755,0.0439054062990194,5.0,,4,,1.108,1.0,1.6666666666666667,31.138938121108897,1.5,165.0
AlTeCl7,mp-573751,0.0487019171296294,5.0,,5,450.0,0.7815802469135803,1.0,1.5555555555555556,31.36176909256357,1.5555555555555556,161.0
Al2VCl8,mp-568443,0.0726759371818186,5.0,,4,365.0,0.9889586776859502,1.0,2.272727272727273,27.44949489088923,1.6363636363636365,165.0
Ca(AlCl4)2,mp-570703,0.0523413227727274,5.0,,4,596.0,0.9889586776859502,1.0,1.6363636363636365,29.276043447264133,1.6363636363636365,161.0
K6InTe4Cl,mp-568916,0.1375775045370368,5.0,,5,1066.0,0.4228194444444444,1.0,1.6666666666666667,38.78948777466652,1.1666666666666667,165.0
KCaCl3,mp-1211643,0.0766418244000002,5.0,,3,981.0,1.19664,1.0,0.8,28.61731824532564,0.6,165.0
KVCl3,mp-1205604,0.1093550323999998,5.0,,3,1225.0,1.19664,1.0,2.2,25.509335182458013,0.6,165.0
KMnCl3,mp-567530,0.0419552822,5.0,,3,761.0,1.19664,1.0,1.8,24.4195827339041,0.6,165.0
K2CuCl3,mp-569952,0.0436210004166661,5.0,,2,663.0,1.2465,1.0,1.0,25.66298855891712,0.5,165.0
KGeCl3,mp-998613,0.0407587622999998,5.0,,3,494.0,1.10472,1.0,1.6,31.35309319788258,1.4,165.0
K2ZnCl4,mp-653633,0.0545727412976191,5.0,,3,757.0,1.221061224489796,1.0,0.8571428571428571,30.41485583034665,0.5714285714285714,165.0
K2CoCl4,mp-23515,0.0943108477380954,5.0,,3,770.0,1.221061224489796,1.0,1.2857142857142858,29.934957451397786,0.5714285714285714,165.0
KGaCl4,mp-30219,0.0444322883578429,5.0,,4,503.0,1.108,1.0,1.6666666666666667,29.29698274657992,1.5,165.0
K2LaCl5,mp-1201545,0.0716041366105768,5.0,,4,956.0,1.16859375,1.0,2.0,28.40025833529183,0.625,165.0
